name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Whooping Crane,Marsh,Omnivore,Ground,Probing,Endangered,150,150, 229, 229,6000-7800,6900.0,1-3,1,3,,,,,,,,,,,,, GRUIFORMES, GRUIDAE
Glossy Ibis,Marsh,Insects,Ground,Probing,Least Concern,48-66,66,,,500-800,650.0,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
Limpkin,Marsh,Insects,Ground,Probing,Least Concern,64-73,73, 101-107,107,900-1300,1100.0,3-8,3,8,,,,,,,,,,,,, GRUIFORMES, ARAMIDAE
Anhinga,Marsh,Fish,Shrub,Surface Dive,Least Concern,75-95,95, 109, 109,1325-1350,1337.5,,,,,,,,,,,,,,,, SULIFORMES, ANHINGIDAE
White-faced Ibis,Marsh,Insects,Ground,Probing,Least Concern,46-56,56,,,450-525,487.5,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
Great Egret,Marsh,Fish,Tree,Stalking,Least Concern,94-104,104, 131-145,145,1000,1000,1-6,1,6, 1-2 ,2 ,5.5-6,6,4-4.3,4.3,23-27,27,23,21-25,21,25, PELECANIFORMES, ARDEIDAE
American Bittern,Marsh,Fish,Ground,Stalking,Least Concern,60-85,85, 92, 92,370-500,435.0,1-5,1,5,,,3.7,3.7,,,24-28,28,24,7-14,7,14, PELECANIFORMES, ARDEIDAE
Little Blue Heron,Marsh,Fish,Tree,Stalking,Least Concern,56-74,74, 100-105,105,296-412,354.0,3-4,3,4, 1 , 1 ,4.1-5.1,5.1,3.1-3.6,3.6,22-23,23,22,35-49,35,49, PELECANIFORMES, ARDEIDAE
Tricolored Heron,Marsh,Fish,Tree,Stalking,Least Concern,60-70,70, 95, 95,415,415,,,,,,,,,,,,,,,, PELECANIFORMES, ARDEIDAE
Wood Stork,Marsh,Fish,Tree,Probing,Least Concern,85-115,115, 150-175,175,2050-2640,2345.0,,,,,,,,,,,,,,,, CICONIIFORMES, CICONIIDAE
Green Heron,Marsh,Fish,Tree,Stalking,Least Concern,41-46,46, 64-68,68,240,240,3-5,3,5, 1-2 ,2 ,3.4-4.3,4.3,2.7-3.5,3.5,19-21,21,19,16-17,16,17, PELECANIFORMES, ARDEIDAE
Snowy Egret,Marsh,Fish,Tree,Stalking,Least Concern,56-66,66, 100, 100,370,370,2-6,2,6, 1 , 1 ,4.1-4.4,4.4,2.3-3.3,3.3,24-25,25,24,20-24,20,24, PELECANIFORMES, ARDEIDAE
Cattle Egret,Marsh,Insects,Tree,Ground Forager,Least Concern,46-56,56, 88-96,96,270-512,391.0,2-4,2,4, 1 , 1 ,3.5-5.2,5.2,2.8-3.6,3.6,22-28,28,22,14-21,14,21, PELECANIFORMES, ARDEIDAE
White Ibis,Marsh,Insects,Tree,Probing,Least Concern,56-68,68,,,750-1050,900.0,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
Reddish Egret,Marsh,Fish,Tree,Stalking,Near Threatened,70-80,80,,,700-850,775.0,,,,,,,,,,,,,,,, PELECANIFORMES, ARDEIDAE
Gilded Flicker,Deserts,Insects,Cavity,Ground Forager,Least Concern,28,28, 48, 48,92-129,110.5,3-8,3,8,,,,,,,,,,,,, PICIFORMES, PICIDAE
White-headed Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,21-23,23,,,55-65,60.0,2-9,2,9,,,,,,,,,,,,, PICIFORMES, PICIDAE
Red-bellied Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,24,24, 33-42,42,56-91,73.5,2-6,2,6, 1-3 ,3 ,2.2-2.9,2.9,1.7-2.2,2.2,12,12,12,24-27,24,27, PICIFORMES, PICIDAE
Gila Woodpecker,Deserts,Omnivore,Cavity,Bark Forager,Least Concern,24,24, 41, 41,51-79,65.0,2-7,2,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
Arizona Woodpecker,Open Woodland,Insects,Cavity,Bark Forager,Least Concern,18-20,20, 36, 36,34-51,42.5,2-4,2,4,,,,,,,,,,,,, PICIFORMES, PICIDAE
Black-backed Woodpecker,Forest,Insects,Cavity,Bark Forager,Least Concern,23,23,,,61-88,74.5,3-6,3,6,,,,,,,,,,,,, PICIFORMES, PICIDAE
Ladder-backed Woodpecker,Deserts,Insects,Cavity,Bark Forager,Least Concern,16-18,18,,,21-48,34.5,4-7,4,7,,,,,,,,,,,,, PICIFORMES, PICIDAE
