name,numRecordings,habitat,food,nesting,conservation,AvgWingspan,AvgLength,AvgWeight,order 2,family 2
Western Sandpiper,22,Shore-line,Insects,Ground,Least Concern,31.5,15.5,28.5, CHARADRIIFORMES, SCOLOPACIDAE
Western Screech-Owl,0,Open Woodland,Mammals,Cavity,Least Concern,58.5,22,202.5, STRIGIFORMES, STRIGIDAE
Western Scrub-Jay,0,Scrub,Omnivore,Tree,Least Concern,39,29,85, PASSERIFORMES, CORVIDAE
Western Tanager,70,Forest,Insects,Tree,Least Concern,28,17.5,30, PASSERIFORMES, CARDINALIDAE
Western Wood-Pewee,0,Open Woodland,Insects,Tree,Least Concern,26,15,12.5, PASSERIFORMES, TYRANNIDAE
Whimbrel,118,Shore-line,Insects,Ground,Least Concern,79,44,401.5, CHARADRIIFORMES, SCOLOPACIDAE
White-breasted Nuthatch,127,Forest,Insects,Cavity,Least Concern,23.5,13.5,24, PASSERIFORMES, SITTIDAE
White-crowned Pigeon,19,Forest,Fruit,Tree,Near Threatened,59,34,250, COLUMBIFORMES, COLUMBIDAE
White-crowned Sparrow,189,Scrub,Insects,Ground,Least Concern,22.5,15.5,26.5, PASSERIFORMES, EMBERIZIDAE
White-eyed Vireo,149,Scrub,Insects,Shrub,Least Concern,17,12,12, PASSERIFORMES, VIREONIDAE
White-faced Ibis,29,Marsh,Insects,Ground,Least Concern,91,51,487.5, PELECANIFORMES, THRESKIORNITHIDAE
White-headed Woodpecker,12,Forest,Insects,Cavity,Least Concern,43,22,60, PICIFORMES, PICIDAE
White Ibis,0,Marsh,Insects,Tree,Least Concern,97,62,900, PELECANIFORMES, THRESKIORNITHIDAE
White-rumped Sandpiper,26,Shore-line,Insects,Ground,Least Concern,42,16.5,50, CHARADRIIFORMES, SCOLOPACIDAE
White-tailed Hawk,32,Grassland,Mammals,Tree,Least Concern,132,52,1057.5, ACCIPITRIFORMES, ACCIPITRIDAE
White-tailed Kite,20,Grassland,Mammals,Tree,Least Concern,102,35,330, ACCIPITRIFORMES, ACCIPITRIDAE
White-tailed Ptarmigan,25,Mountains,Plants,Ground,Least Concern,56,30.5,405, GALLIFORMES, PHASIANIDAE
White-throated Sparrow,130,Forest,Seeds,Ground,Least Concern,21.5,17,27, PASSERIFORMES, EMBERIZIDAE
White-throated Swift,19,Mountains,Insects,Cliff,Least Concern,33,16.5,32, APODIFORMES, APODIDAE
White-tipped Dove,187,Open Woodland,Seeds,Tree,Least Concern,46,28,164.5, COLUMBIFORMES, COLUMBIDAE
White-winged Crossbill,0,Forest,Seeds,Tree,Least Concern,26.5,16,25, PASSERIFORMES, FRINGILLIDAE
White-winged Scoter,1,Lake/Pond,Insects,Ground,Least Concern,80,53,1375, ANSERIFORMES, ANATIDAE
Whooping Crane,1,Marsh,Omnivore,Ground,Endangered,229,150,6900, GRUIFORMES, GRUIDAE
Wild Turkey,37,Open Woodland,Omnivore,Ground,Least Concern,134.5,112.5,6650, GALLIFORMES, PHASIANIDAE
Willet,80,Shore-line,Small_Animals,Ground,Least Concern,70,37,265, CHARADRIIFORMES, SCOLOPACIDAE
Williamson's Sapsucker,37,Forest,Insects,Cavity,Least Concern,43,23,49.5, PICIFORMES, PICIDAE
Willow Flycatcher,117,Marsh,Insects,Shrub,Least Concern,21.5,15,13.5, PASSERIFORMES, TYRANNIDAE
Willow Ptarmigan,56,Scrub,Plants,Ground,Least Concern,62.5,39.5,620, GALLIFORMES, PHASIANIDAE
Wilson's Phalarope,13,Lake/Pond,Insects,Ground,Least Concern,41,23,74, CHARADRIIFORMES, SCOLOPACIDAE
Wilson's Plover,22,Shore-line,Insects,Ground,Least Concern,48,18,62.5, CHARADRIIFORMES, CHARADRIIDAE
Wilson's Snipe,79,Marsh,Insects,Ground,Least Concern,42.5,29.5,112.5, CHARADRIIFORMES, SCOLOPACIDAE
Wilson's Warbler,114,Scrub,Insects,Ground,Least Concern,15.5,11,7.5, PASSERIFORMES, PARULIDAE
Winter Wren,104,Forest,Insects,Cavity,Least Concern,14,10,10, PASSERIFORMES, TROGLODYTIDAE
Wood Duck,33,Lake/Pond,Insects,Cavity,Least Concern,69.5,50.5,658, ANSERIFORMES, ANATIDAE
